T_over_Tc, mu_over_kTc, z
1.000000000000000021e-02,-9.960241705055423327e-05,9.900891972249752371e-01
1.196392785571142280e-02,-1.192002537803151598e-04,9.900861649931903541e-01
1.392785571142284712e-02,-1.388138112533453174e-04,9.900828703664772412e-01
1.589178356713426971e-02,-1.584443513975729485e-04,9.900793320120908625e-01
1.785571142284569229e-02,-1.780930546325611879e-04,9.900755649051693474e-01
1.981963927855711488e-02,-1.977610353615944503e-04,9.900715813840846868e-01
2.178356713426853747e-02,-2.174493532633319014e-04,9.900673918258307005e-01
2.374749498997996006e-02,-2.371590218268968952e-04,9.900630051012109245e-01
2.571142284569138264e-02,-2.568910149920073413e-04,9.900584288943851119e-01
2.767535070140280523e-02,-2.766462724372895999e-04,9.900536699347218805e-01
2.963927855711422782e-02,-2.964257038746382169e-04,9.900487341696778687e-01
3.160320641282565041e-02,-3.162301925941535426e-04,9.900436268966961162e-01
3.356713426853707993e-02,-3.360605984318795758e-04,9.900383528658275312e-01
3.553106212424850252e-02,-3.559177602847427967e-04,9.900329163609365990e-01
3.749498997995992511e-02,-3.758024982646427118e-04,9.900273212649153276e-01
3.945891783567134770e-02,-3.957156155610238538e-04,9.900215711127373641e-01
4.142284569138277028e-02,-4.156579000648773334e-04,9.900156691351222893e-01
4.338677354709419287e-02,-4.356301257955889536e-04,9.900096182948402435e-01
4.535070140280561546e-02,-4.556330541630150490e-04,9.900034213171808872e-01
4.731462925851703805e-02,-4.756674350909293066e-04,9.899970807157352226e-01
4.927855711422846063e-02,-4.957340080225777811e-04,9.899905988143812285e-01
5.124248496993988322e-02,-5.158335028255697481e-04,9.899839777661588736e-01
5.320641282565130581e-02,-5.359666406100384566e-04,9.899772195695789589e-01
5.517034068136272840e-02,-5.561341344716738255e-04,9.899703260827970031e-01
5.713426853707415792e-02,-5.763366901694116310e-04,9.899632990359963358e-01
5.909819639278558051e-02,-5.965750067458441309e-04,9.899561400422618451e-01
6.106212424849700310e-02,-6.168497770973218643e-04,9.899488506071711935e-01
6.302605210420841875e-02,-6.371616884995965485e-04,9.899414321372913550e-01
6.498997995991984133e-02,-6.575114230940594081e-04,9.899338859477350150e-01
6.695390781563126392e-02,-6.778996583388616519e-04,9.899262132689065075e-01
6.891783567134268651e-02,-6.983270674287498639e-04,9.899184152525438707e-01
7.088176352705410910e-02,-7.187943196867865132e-04,9.899104929771492811e-01
7.284569138276553169e-02,-7.393020809308175527e-04,9.899024474528843598e-01
7.480961923847695427e-02,-7.598510138172553637e-04,9.898942796259947441e-01
7.677354709418837686e-02,-7.804417781642503668e-04,9.898859903828214346e-01
7.873747494989979945e-02,-8.010750312562305107e-04,9.898775805534462124e-01
8.070140280561122204e-02,-8.217514281316130745e-04,9.898690509150113170e-01
8.266533066132264462e-02,-8.424716218550121639e-04,9.898604021947516873e-01
8.462925851703406721e-02,-8.632362637754970773e-04,9.898516350727682989e-01
8.659318637274548980e-02,-8.840460037720277060e-04,9.898427501845707965e-01
8.855711422845691239e-02,-9.049014904870971744e-04,9.898337481234137369e-01
9.052104208416833497e-02,-9.258033715497214359e-04,9.898246294424453140e-01
9.248496993987975756e-02,-9.467522937884498713e-04,9.898153946566892181e-01
9.444889779559118015e-02,-9.677489034353928396e-04,9.898060442448735063e-01
