T_over_Tc, mu_over_kTc, z
1.010020040080160220e+00,nan,nan
1.014028056112224352e+00,nan,nan
1.018036072144288484e+00,-2.809704179654249678e+00,6.329645490890638271e-02
1.022044088176352616e+00,-1.074482050551682333e+00,3.494806975808357752e-01
1.026052104208416749e+00,-6.892442362837154501e-01,5.108169897341569010e-01
1.030060120240480881e+00,-5.075621800875632639e-01,6.109439528529883034e-01
1.034068136272545013e+00,-4.028410398011909588e-01,6.773486506363781690e-01
1.038076152304609145e+00,-3.359093822586115552e-01,7.235480066565598278e-01
1.042084168336673278e+00,-2.903162512490538028e-01,7.568486790489789007e-01
1.046092184368737410e+00,-2.579090405248000151e-01,7.814960119334550814e-01
1.050100200400801542e+00,-2.341901971032427920e-01,8.001012469164144880e-01
1.054108216432865675e+00,-2.164816693069929743e-01,8.143463660503781343e-01
1.058116232464929807e+00,-2.030941097104344284e-01,8.253569499671995491e-01
1.062124248496993939e+00,-1.929123331597369928e-01,8.339108460171263948e-01
1.066132264529058071e+00,-1.851725269662308493e-01,8.405605727626948021e-01
1.070140280561122204e+00,-1.793352649675584165e-01,8.457080437107132864e-01
1.074148296593186336e+00,-1.750095768735996649e-01,8.496517733056646593e-01
1.078156312625250468e+00,-1.719056982842799286e-01,8.526175994278596404e-01
1.082164328657314600e+00,-1.698046574639270889e-01,8.547792063177660493e-01
1.086172344689378733e+00,-1.685381221087755566e-01,8.562721539790372205e-01
1.090180360721442865e+00,-1.679747030427579668e-01,8.572036676103105268e-01
1.094188376753506997e+00,-1.680104368895252720e-01,8.576595955378346625e-01
1.098196392785571129e+00,-1.685620410265552538e-01,8.577094375503184764e-01
1.102204408817635262e+00,-1.695620483060759076e-01,8.574100340477129878e-01
1.106212424849699394e+00,-1.709552416528609398e-01,8.568083101491631437e-01
1.110220440881763526e+00,-1.726960033748383416e-01,8.559433428481010298e-01
1.114228456913827658e+00,-1.747463185713505340e-01,8.548479364241945433e-01
1.118236472945891791e+00,-1.770742532133185443e-01,8.535498359918416433e-01
1.122244488977955923e+00,-1.796527810662567615e-01,8.520726717819645524e-01
1.126252505010020055e+00,-1.824588703982683024e-01,8.504367006507441706e-01
1.130260521042083965e+00,-1.854727660909270270e-01,8.486593935239534758e-01
1.134268537074148098e+00,-1.886774204935685595e-01,8.467559044960005776e-01
1.138276553106212230e+00,-1.920580384174966071e-01,8.447394483559714784e-01
1.142284569138276362e+00,-1.956017106329928090e-01,8.426216065711733538e-01
1.146292585170340494e+00,-1.992971165363919828e-01,8.404125769663141066e-01
1.150300601202404627e+00,-2.031342812682836174e-01,8.381213787912836777e-01
1.154308617234468759e+00,-2.071043761031095554e-01,8.357560221305376791e-01
1.158316633266532891e+00,-2.111995533539168801e-01,8.333236487057872344e-01
1.162324649298597024e+00,-2.154128091098029829e-01,8.308306494974322387e-01
1.166332665330661156e+00,-2.197378684650517777e-01,8.282827635379761411e-01
1.170340681362725288e+00,-2.241690890714344853e-01,8.256851612971884968e-01
1.174348697394789420e+00,-2.287013797084285760e-01,8.230425153853032638e-01
1.178356713426853553e+00,-2.333301312002171168e-01,8.203590607845142602e-01
1.182364729458917685e+00,-2.380511575689079062e-01,8.176386463673733784e-01
1.186372745490981817e+00,-2.428606456797064439e-01,8.148847791566028453e-01
1.190380761523045949e+00,-2.477551120033682219e-01,8.121006624830400256e-01
1.194388777555110082e+00,-2.527313653181915143e-01,8.092892290281658019e-01
1.198396793587174214e+00,-2.577864744584706380e-01,8.064531695129875111e-01
1.202404809619238346e+00,-2.629177402761472826e-01,8.035949577298707736e-01
1.206412825651302478e+00,-2.681226712508246179e-01,8.007168724108206792e-01
1.210420841683366611e+00,-2.733989621426248795e-01,7.978210164360775014e-01
1.214428857715430743e+00,-2.787444752897264011e-01,7.949093337321476715e-01
1.218436873747494875e+00,-2.841572241626265094e-01,7.919836241895755746e-01
1.222444889779559007e+00,-2.896353588599866469e-01,7.890455568713695689e-01
1.226452905811623140e+00,-2.951771532854828850e-01,7.860966817378536309e-01
1.230460921843687272e+00,-3.007809937791877664e-01,7.831384400835099679e-01
1.234468937875751404e+00,-3.064453690138260744e-01,7.801721738506066650e-01
1.238476953907815536e+00,-3.121688609948567450e-01,7.771991339601049820e-01
1.242484969939879669e+00,-3.179501370223968837e-01,7.742204877830151100e-01
1.246492985971943801e+00,-3.237879424946731310e-01,7.712373258571088019e-01
1.250501002004007933e+00,-3.296810944579592340e-01,7.682506679342259170e-01
1.254509018036072066e+00,-3.356284757986078837e-01,7.652614684458154404e-01
1.258517034068136198e+00,-3.416290300306543681e-01,7.622706214356528287e-01
1.262525050100200330e+00,-3.476817565677791100e-01,7.592789650459212947e-01
1.266533066132264462e+00,-3.537857064671753871e-01,7.562872855799747107e-01
1.270541082164328595e+00,-3.599399785593591083e-01,7.532963212081797977e-01
1.274549098196392727e+00,-3.661437159526944041e-01,7.503067653362182066e-01
1.278557114228456859e+00,-3.723961028397708706e-01,7.473192696907815513e-01
1.282565130260520991e+00,-3.786963615938837013e-01,7.443344471395740847e-01
1.286573146292585124e+00,-3.850437501268979545e-01,7.413528742718313858e-01
1.290581162324649256e+00,-3.914375594686118620e-01,7.383750937708950524e-01
1.294589178356713388e+00,-3.978771115514262990e-01,7.354016165955166162e-01
1.298597194388777520e+00,-4.043617571862307414e-01,7.324329239847580109e-01
