T_over_Tc, mu_over_kTc, z
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
4.008016032064127925e-03,0.000000000000000000e+00,1.000000000000000000e+00
8.016032064128255849e-03,0.000000000000000000e+00,1.000000000000000000e+00
1.202404809619238291e-02,0.000000000000000000e+00,1.000000000000000000e+00
1.603206412825651170e-02,0.000000000000000000e+00,1.000000000000000000e+00
2.004008016032064049e-02,0.000000000000000000e+00,1.000000000000000000e+00
2.404809619238476581e-02,0.000000000000000000e+00,1.000000000000000000e+00
2.805611222444889460e-02,0.000000000000000000e+00,1.000000000000000000e+00
3.206412825651302340e-02,0.000000000000000000e+00,1.000000000000000000e+00
3.607214428857714872e-02,0.000000000000000000e+00,1.000000000000000000e+00
4.008016032064128098e-02,0.000000000000000000e+00,1.000000000000000000e+00
4.408817635270540630e-02,0.000000000000000000e+00,1.000000000000000000e+00
4.809619238476953162e-02,0.000000000000000000e+00,1.000000000000000000e+00
5.210420841683366389e-02,0.000000000000000000e+00,1.000000000000000000e+00
5.611222444889778921e-02,0.000000000000000000e+00,1.000000000000000000e+00
6.012024048096192147e-02,0.000000000000000000e+00,1.000000000000000000e+00
6.412825651302604679e-02,0.000000000000000000e+00,1.000000000000000000e+00
6.813627254509017905e-02,0.000000000000000000e+00,1.000000000000000000e+00
7.214428857715429744e-02,0.000000000000000000e+00,1.000000000000000000e+00
7.615230460921842970e-02,0.000000000000000000e+00,1.000000000000000000e+00
8.016032064128256196e-02,0.000000000000000000e+00,1.000000000000000000e+00
8.416833667334668034e-02,0.000000000000000000e+00,1.000000000000000000e+00
8.817635270541081260e-02,0.000000000000000000e+00,1.000000000000000000e+00
9.218436873747494487e-02,0.000000000000000000e+00,1.000000000000000000e+00
9.619238476953906325e-02,0.000000000000000000e+00,1.000000000000000000e+00
1.002004008016031955e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.042084168336673278e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.082164328657314600e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.122244488977955784e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.162324649298597107e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.202404809619238429e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.242484969939879613e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.282565130260520936e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.322645290581162258e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.362725450901803581e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.402805611222444904e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.442885771543085949e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.482965931863727271e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.523046092184368594e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.563126252505009917e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.603206412825651239e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.643286573146292562e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.683366733466933607e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.723446893787574929e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.763527054108216252e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.803607214428857575e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.843687374749498897e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.883767535070140220e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.923847695390781265e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.963927855711422588e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.004008016032063910e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.044088176352705233e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.084168336673346555e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.124248496993987878e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.164328657314629201e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.204408817635270246e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.244488977955911568e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.284569138276552891e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.324649298597194214e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.364729458917835536e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.404809619238476859e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.444889779559117904e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.484969939879759226e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.525050100200400549e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.565130260521041872e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.605210420841683194e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.645290581162324517e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.685370741482965840e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.725450901803607162e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.765531062124248485e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.805611222444889807e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.845691382765530575e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.885771543086171897e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.925851703406813220e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.965931863727454543e-01,0.000000000000000000e+00,1.000000000000000000e+00
3.006012024048095865e-01,0.000000000000000000e+00,1.000000000000000000e+00
3.046092184368737188e-01,0.000000000000000000e+00,1.000000000000000000e+00
3.086172344689378511e-01,0.000000000000000000e+00,1.000000000000000000e+00
3.126252505010019833e-01,0.000000000000000000e+00,1.000000000000000000e+00
3.166332665330661156e-01,0.000000000000000000e+00,1.000000000000000000e+00
3.206412825651302478e-01,0.000000000000000000e+00,1.000000000000000000e+00
3.246492985971943801e-01,0.000000000000000000e+00,1.000000000000000000e+00
3.286573146292585124e-01,0.000000000000000000e+00,1.000000000000000000e+00
3.326653306613226446e-01,0.000000000000000000e+00,1.000000000000000000e+00
3.366733466933867214e-01,0.000000000000000000e+00,1.000000000000000000e+00
